Employee_ID,Age,Gender,Department,Job_Role,Experience,Education,Salary,Performance_Score,Job_Satisfaction,Overtime,Work_Hours,Remote_Work,Training_Hours,Projects,Promotion_Last_5Yrs,Joining_Date,Attrition,City,Employment_Type,Manager_Rating,Sick_Leaves,Attrition_Flag,Salary_Thousands
1,40.0,Male,Sales,Sales Manager,3,Master,94113.0,5,6.0,Yes,46,No,70,5,No,2011-12-21,No,Rawalpindi,Contract,5,6,0,94.113
2,39.0,Female,Sales,Sales Manager,2,Master,54224.0,4,9.0,No,36,No,33,3,Yes,2015-09-20,No,Islamabad,Full-Time,4,4,0,54.224
3,49.0,Male,Finance,Financial Analyst,25,Master,166749.0,2,6.0,No,48,Yes,75,12,No,2014-12-10,No,Islamabad,Full-Time,8,2,0,166.749
4,54.0,Female,Marketing,Marketing Specialist,26,Bachelor,196590.0,5,4.0,Yes,51,Yes,64,12,No,2022-08-23,Yes,Rawalpindi,Contract,4,5,1,196.59
5,41.0,Female,IT,Data Analyst,18,PhD,231764.0,3,8.0,Yes,40,Yes,15,12,No,2021-09-29,No,Rawalpindi,Contract,10,8,0,231.764
6,40.0,Male,IT,Data Analyst,0,Master,45627.0,4,8.0,No,47,No,51,3,Yes,2024-12-23,No,Karachi,Full-Time,7,12,0,45.627
7,22.0,Male,HR,HR Executive,0,Bachelor,68148.0,2,3.0,Yes,55,Yes,60,1,No,2012-11-24,Yes,Peshawar,Full-Time,7,6,1,68.148
8,52.0,Female,Sales,Sales Executive,1,Bachelor,64208.0,4,4.0,Yes,50,No,79,3,No,2017-12-03,No,Lahore,Full-Time,7,7,0,64.208
9,43.0,Male,HR,Sales Executive,3,PhD,119197.5,5,9.0,No,52,Yes,67,6,No,2012-01-16,No,Peshawar,Contract,8,12,0,119.1975
10,55.0,Male,HR,HR Executive,27,PhD,119197.5,4,7.0,No,50,No,60,14,No,2014-11-15,No,Islamabad,Full-Time,4,0,0,119.1975
11,44.0,Female,HR,Recruiter,7,PhD,139459.0,2,10.0,No,47,No,65,9,No,2019-03-05,No,Lahore,Contract,6,5,0,139.459
12,27.0,Female,HR,Recruiter,1,Bachelor,59849.0,1,10.0,No,48,No,35,2,No,2011-12-29,No,Karachi,Full-Time,10,6,0,59.849
13,40.0,Female,IT,Software Engineer,11,PhD,215991.0,1,6.0,Yes,48,Yes,20,8,No,2014-07-30,No,Lahore,Full-Time,6,7,0,215.991
14,44.0,Male,Finance,Financial Analyst,17,Master,242589.0,4,7.0,Yes,49,Yes,18,8,Yes,2021-05-05,No,Lahore,Full-Time,10,1,0,242.589
15,35.0,Female,HR,HR Executive,2,PhD,64968.0,4,3.0,Yes,38,No,47,3,Yes,2019-10-08,Yes,Islamabad,Contract,9,4,1,64.968
16,37.0,Female,Sales,Sales Executive,10,Master,105585.0,3,7.0,No,48,Yes,24,8,No,2014-11-25,No,Faisalabad,Full-Time,9,13,0,105.585
17,48.0,Female,HR,Recruiter,14,PhD,153901.0,2,6.0,Yes,35,Yes,48,15,No,2020-06-07,No,Karachi,Contract,10,10,0,153.901
18,25.0,Female,HR,Recruiter,0,PhD,69573.0,1,8.0,No,51,No,56,3,No,2023-09-26,No,Peshawar,Full-Time,9,9,0,69.573
19,39.0,Male,Finance,Accountant,12,Master,221358.0,3,6.0,No,55,Yes,43,15,No,2011-09-10,No,Peshawar,Full-Time,10,2,0,221.358
20,46.0,Male,Marketing,SEO Executive,16,PhD,162166.0,5,4.0,Yes,55,Yes,8,12,No,2023-09-07,No,Islamabad,Full-Time,6,8,0,162.166
21,25.0,Female,Sales,Sales Executive,2,PhD,44057.0,1,8.0,Yes,44,No,48,1,No,2022-01-25,No,Faisalabad,Contract,7,7,0,44.057
22,44.0,Female,Marketing,Marketing Specialist,9,PhD,146815.0,5,5.0,Yes,42,No,71,9,No,2016-09-12,No,Peshawar,Full-Time,9,6,0,146.815
23,49.0,Female,IT,Software Engineer,2,Bachelor,69114.0,4,7.0,Yes,49,No,72,1,No,2013-12-04,No,Karachi,Contract,5,12,0,69.114
24,49.0,Female,Finance,Financial Analyst,22,Master,171344.0,5,7.0,No,50,Yes,70,10,No,2025-12-14,No,Peshawar,Contract,5,3,0,171.344
