Age,Gender,Experience,Salary,Performance_Score,Job_Satisfaction,Overtime,Work_Hours,Remote_Work,Training_Hours,Projects,Promotion_Last_5Yrs,Manager_Rating,Sick_Leaves,Years_At_Company,Previous_Experience,Salary_Per_Experience,Workload_Score,Department_HR,Department_IT,Department_Marketing,Department_Sales,Job_Role_Data Analyst,Job_Role_DevOps Engineer,Job_Role_Financial Analyst,Job_Role_HR Executive,Job_Role_Marketing Specialist,Job_Role_Recruiter,Job_Role_SEO Executive,Job_Role_Sales Executive,Job_Role_Sales Manager,Job_Role_Software Engineer,Education_Master,Education_PhD,City_Islamabad,City_Karachi,City_Lahore,City_Peshawar,City_Rawalpindi,Employment_Type_Full-Time,Salary_Band_Medium,Salary_Band_High,Salary_Band_Very High,Experience_Band_Junior,Experience_Band_Mid Level,Experience_Band_Senior,Satisfaction_Category_Medium,Satisfaction_Category_High,Performance_Category_Average,Performance_Category_High
40.0,0,3,94113.0,5,6.0,1,46,0,70,5,No,5,6,14.6,0.0,31371.0,9.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
39.0,1,2,54224.0,4,9.0,0,36,0,33,3,Yes,4,4,10.9,0.0,27112.0,6.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
49.0,0,25,166749.0,2,6.0,0,48,1,75,12,No,8,2,11.7,13.3,6669.96,16.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
54.0,1,26,196590.0,5,4.0,1,51,1,64,12,No,4,5,4.0,22.0,7561.15,17.1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
41.0,1,18,231764.0,3,8.0,1,40,1,15,12,No,10,8,4.9,13.1,12875.78,16.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0
40.0,0,0,45627.0,4,8.0,0,47,0,51,3,Yes,7,12,1.6,0.0,45627.0,7.7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
22.0,0,0,68148.0,2,3.0,1,55,1,60,1,No,7,6,13.7,0.0,68148.0,6.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
52.0,1,1,64208.0,4,4.0,1,50,0,79,3,No,7,7,8.7,0.0,64208.0,8.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
43.0,0,3,119197.5,5,9.0,0,52,1,67,6,No,8,12,14.6,0.0,39732.5,11.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
55.0,0,27,119197.5,4,7.0,0,50,0,60,14,No,4,0,11.7,15.3,4414.72,19.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1
44.0,1,7,139459.0,2,10.0,0,47,0,65,9,No,6,5,7.4,0.0,19922.71,13.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
27.0,1,1,59849.0,1,10.0,0,48,0,35,2,No,10,6,14.6,0.0,59849.0,6.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
40.0,1,11,215991.0,1,6.0,1,48,1,20,8,No,6,7,12.0,0.0,19635.55,12.8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
44.0,0,17,242589.0,4,7.0,1,49,1,18,8,Yes,10,1,5.3,11.7,14269.94,12.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1
35.0,1,2,64968.0,4,3.0,1,38,0,47,3,Yes,9,4,6.8,0.0,32484.0,6.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37.0,1,10,105585.0,3,7.0,0,48,1,24,8,No,9,13,11.7,0.0,10558.5,12.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0
48.0,1,14,153901.0,2,6.0,1,35,1,48,15,No,10,10,6.2,7.8,10992.93,18.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
25.0,1,0,69573.0,1,8.0,0,51,0,56,3,No,9,9,2.9,0.0,69573.0,8.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
39.0,0,12,221358.0,3,6.0,0,55,1,43,15,No,10,2,14.9,0.0,18446.5,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
46.0,0,16,162166.0,5,4.0,1,55,1,8,12,No,6,8,2.9,13.1,10135.38,17.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
25.0,1,2,44057.0,1,8.0,1,44,0,48,1,No,7,7,4.5,0.0,22028.5,5.4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44.0,1,9,146815.0,5,5.0,1,42,0,71,9,No,9,6,9.9,0.0,16312.78,13.2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1
49.0,1,2,69114.0,4,7.0,1,49,0,72,1,No,5,12,12.7,0.0,34557.0,5.9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
49.0,1,22,171344.0,5,7.0,0,50,1,70,10,No,5,3,0.6,21.4,7788.36,15.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1
32.0,1,1,43960.0,5,5.0,1,36,1,52,2,No,6,9,10.0,0.0,43960.0,5.6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
23.0,0,0,69302.0,3,6.0,0,40,1,20,2,No,5,11,13.6,0.0,69302.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
52.0,1,28,244376.0,2,8.0,0,55,0,62,10,No,8,4,13.6,14.4,8727.71,15.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
48.0,1,7,143938.0,3,7.0,1,37,1,78,9,No,9,9,2.3,4.7,20562.57,12.7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0
57.0,0,12,224743.0,4,4.0,1,35,1,7,11,Yes,8,8,6.0,6.0,18728.58,14.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
27.0,1,3,98245.0,3,9.0,0,40,1,72,3,No,7,10,2.9,0.1,32748.33,7.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0
29.0,0,8,352095.375,1,7.0,0,44,1,12,8,No,5,10,4.1,3.9,44011.92,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
25.0,1,3,83527.0,3,6.0,1,38,1,35,5,No,7,7,7.0,0.0,27842.33,8.8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0
29.0,1,0,42144.0,1,4.0,1,55,1,39,2,No,7,3,0.4,0.0,42144.0,7.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
