Feature,Importance_Mean,Importance_Std
Job_Satisfaction,0.5899693486590037,0.08227632034728691
Overtime,0.28692810457516343,0.0988053800776859
Satisfaction_Category_Medium,0.2519991193017509,0.1276643485664199
Satisfaction_Category_High,0.18247740442786883,0.09038987187066312
Age,0.006399144077219976,0.024210187328855375
Manager_Rating,0.003184014053579309,0.020107244124354922
Experience_Band_Junior,0.0,0.0
Experience_Band_Senior,0.0,0.0
Promotion_Last_5Yrs,0.0,0.0
City_Lahore,0.0,0.0
Job_Role_Recruiter,0.0,0.0
Job_Role_DevOps Engineer,0.0,0.0
Education_PhD,0.0,0.0
Job_Role_Software Engineer,0.0,0.0
Job_Role_Data Analyst,0.0,0.0
Department_IT,0.0,0.0
Experience_Band_Mid Level,0.0,0.0
Salary_Band_Very High,0.0,0.0
Previous_Experience,-0.0056038647342995015,0.011207729468599003
City_Islamabad,-0.0056038647342995015,0.011207729468599003
Job_Role_Financial Analyst,-0.0056038647342995015,0.011207729468599003
Performance_Category_Average,-0.0056038647342995015,0.011207729468599003
Job_Role_Marketing Specialist,-0.0082865659368897,0.017625354714659706
Department_Sales,-0.008405797101449253,0.012840067164610534
Department_HR,-0.008405797101449253,0.012840067164610532
Department_Marketing,-0.008405797101449253,0.012840067164610534
Job_Role_Sales Executive,-0.009661835748792235,0.015639047397331997
Years_At_Company,-0.013138040908623683,0.024198021936373132
Job_Role_HR Executive,-0.014009661835748755,0.014009661835748755
Salary_Per_Experience,-0.01631841074949303,0.02865277856356284
Education_Master,-0.016811594202898506,0.01372660918661101
Remote_Work,-0.016811594202898506,0.01372660918661101
Gender,-0.024978928975228652,0.019241061941611237
Performance_Category_High,-0.025098160139788207,0.014847631489447356
Workload_Score,-0.025385728759588923,0.032111709433302084
Employment_Type_Full-Time,-0.027780861342378404,0.01734639300738909
Salary_Band_Medium,-0.027780861342378404,0.01734639300738909
City_Peshawar,-0.02801932367149751,0.0
Job_Role_SEO Executive,-0.02801932367149751,0.0
City_Rawalpindi,-0.03291525336622465,0.02652294780856097
Salary,-0.03559795456881485,0.027239128091357406
Experience,-0.03962920135676838,0.023072304996212763
Training_Hours,-0.039817812724843214,0.01710482609086329
Performance_Score,-0.03982103788169598,0.01714297680991002
City_Karachi,-0.04075318687450309,0.024991542431532877
Sick_Leaves,-0.04377274128892995,0.024459267929724558
Salary_Band_High,-0.046679000925069346,0.017495015120989738
Projects,-0.04696208579022108,0.019652324669204108
Work_Hours,-0.05170906567992595,0.02516339606139688
Job_Role_Sales Manager,-0.0677009456264775,0.012854609929077998
