Feature,Mean_Absolute_SHAP
Job_Satisfaction,0.08934934931823443
Satisfaction_Category_Medium,0.04251740791739629
Overtime,0.035567035384984735
Satisfaction_Category_High,0.03026282702144304
City_Karachi,0.004673544342554643
Years_At_Company,0.004394757267326095
Training_Hours,0.004241794216385544
Age,0.003744395810489928
Workload_Score,0.0037364150157100555
Salary_Per_Experience,0.0033592844211254407
Sick_Leaves,0.002768380547807202
Experience,0.00268860232775699
Work_Hours,0.0026323713052801194
Salary,0.0025141313617565624
Projects,0.0024017667008498144
Manager_Rating,0.0019257523867052125
Previous_Experience,0.0018596217201570081
Job_Role_Financial Analyst,0.0018398880545628488
City_Rawalpindi,0.0018092843908118542
Job_Role_HR Executive,0.0017139704467227207
Education_Master,0.0014040141321844124
Remote_Work,0.0013378286421157346
Job_Role_Sales Manager,0.0012598916137377195
Performance_Score,0.0011911009956554262
Performance_Category_High,0.0010678023486208885
Salary_Band_Medium,0.0010332333796406821
Education_PhD,0.0009980161528989149
Job_Role_Sales Executive,0.0009761361665689977
City_Islamabad,0.0009170968573459562
Job_Role_Marketing Specialist,0.0008696502535663979
Experience_Band_Junior,0.0008083664297974142
Gender,0.0007616027985643441
Job_Role_Software Engineer,0.0007460261170923184
Department_Marketing,0.0007270043855406145
Employment_Type_Full-Time,0.0006775430458504056
Salary_Band_High,0.0005908097769459944
Department_HR,0.0005321391451060184
City_Lahore,0.000499565622300467
Job_Role_Recruiter,0.0004941802325640919
Salary_Band_Very High,0.0004832060099050531
City_Peshawar,0.00044347883938754864
Job_Role_SEO Executive,0.0004357716125396209
Promotion_Last_5Yrs,0.0004309917440380288
Job_Role_DevOps Engineer,0.00042659089879491953
Department_Sales,0.0004254236484790387
Experience_Band_Mid Level,0.00037660237763412706
Performance_Category_Average,0.00035996468555838106
Experience_Band_Senior,0.00035582480753171497
Department_IT,0.00026052641539193674
Job_Role_Data Analyst,0.00014285819798178954
