Employee_ID,Age,Gender,Department,Job_Role,Experience,Education,Salary,Performance_Score,Job_Satisfaction,Overtime,Work_Hours,Remote_Work,Training_Hours,Projects,Promotion_Last_5Yrs,Joining_Date,Attrition,City,Employment_Type,Manager_Rating,Sick_Leaves
1,40,Male,Sales,Sales Manager,3,Master,94113,5,6,Yes,46,No,70,5,No,2011-12-21,No,Rawalpindi,Contract,5,6
2,39,Female,Sales,Sales Manager,2,Master,54224,4,9,No,36,No,33,3,Yes,2015-09-20,No,Islamabad,Full-Time,4,4
3,49,Male,Finance,Financial Analyst,25,Master,166749,2,6,No,48,Yes,75,12,No,2014-12-10,No,Islamabad,Full-Time,8,2
4,54,Female,Marketing,Marketing Specialist,26,Bachelor,196590,5,4,Yes,51,Yes,64,12,No,2022-08-23,Yes,Rawalpindi,Contract,4,5
5,41,Female,IT,Data Analyst,18,PhD,231764,3,8,Yes,40,Yes,15,12,No,2021-09-29,No,Rawalpindi,Contract,10,8
6,56,Male,IT,Data Analyst,0,Master,45627,4,8,No,47,No,51,3,Yes,2024-12-23,No,Karachi,Full-Time,7,12
7,22,Male,HR,HR Executive,0,Bachelor,68148,2,3,Yes,55,Yes,60,1,No,2012-11-24,Yes,Peshawar,Full-Time,7,6
8,52,Female,Sales,Sales Executive,1,Bachelor,64208,4,4,Yes,50,No,79,3,No,2017-12-03,No,Lahore,Full-Time,7,7
9,43,Male,Sales,Sales Executive,3,PhD,83621,5,9,No,52,Yes,67,6,No,2012-01-16,No,Peshawar,Contract,8,12
10,55,Male,HR,HR Executive,27,PhD,185107,4,7,No,50,No,60,14,No,2014-11-15,No,Islamabad,Full-Time,4,0
11,44,Female,HR,Recruiter,7,PhD,139459,2,10,No,47,No,65,9,No,2019-03-05,No,Lahore,Contract,6,5
12,27,Female,HR,Recruiter,1,Bachelor,59849,1,10,No,48,No,35,2,No,2011-12-29,No,Lahore,Full-Time,10,6
13,44,Female,IT,Software Engineer,11,PhD,215991,1,6,Yes,48,Yes,20,8,No,2014-07-30,No,Lahore,Full-Time,6,7
14,44,Male,Finance,Financial Analyst,17,Master,242589,4,7,Yes,49,Yes,18,8,Yes,2021-05-05,No,Lahore,Full-Time,10,1
15,35,Female,HR,HR Executive,2,PhD,64968,4,3,Yes,38,No,47,3,Yes,2019-10-08,Yes,Islamabad,Contract,9,4
16,37,Female,Sales,Sales Executive,10,Master,105585,3,7,No,48,Yes,24,8,No,2014-11-25,No,Faisalabad,Full-Time,9,13
17,48,Female,HR,Recruiter,14,PhD,153901,2,6,Yes,35,Yes,48,15,No,2020-06-07,No,Peshawar,Contract,10,10
18,25,Female,HR,Recruiter,0,PhD,69573,1,8,No,51,No,56,3,No,2023-09-26,No,Peshawar,Full-Time,9,9
19,39,Male,Finance,Accountant,12,Master,221358,3,6,No,55,Yes,43,15,No,2011-09-10,No,Peshawar,Full-Time,10,2
20,46,Male,Marketing,SEO Executive,16,PhD,162166,5,4,Yes,55,Yes,8,12,No,2023-09-07,No,Islamabad,Full-Time,6,8
21,25,Female,Sales,Sales Executive,2,PhD,44057,1,8,Yes,44,No,48,1,No,2022-01-25,No,Faisalabad,Contract,7,7
22,44,Female,Marketing,Marketing Specialist,9,PhD,146815,5,5,Yes,42,No,71,9,No,2016-09-12,No,Peshawar,Full-Time,9,6
23,49,Female,IT,Software Engineer,2,Bachelor,69114,4,7,Yes,49,No,72,1,No,2013-12-04,No,Karachi,Contract,5,12
